Date,Weekday,Unit,MedicationType,Drug,IsRestockDay,StockLevel,Shortage,Delivered,Returned,DaysSupply,AvgTimeInStorage_days,WorkloadMin,PickAccuracy_pct,ErrorRate_per100,InventoryAdjustment_pct
2026-02-23,Monday,Neurology,Anticoagulants,CLEXANE 60MG,Yes,45,No,34,4,3,2.9,52,94.9,0.4,2.8
2026-02-23,Monday,Neurology,Neurology/Psych,HALDOL 2MG/ML,Yes,45,Yes,74,7,3,4.7,46,98.0,2.8,2.1
2026-02-23,Monday,Neurology,Perfusions/IV,NACL 0.9% 250ML,Yes,83,No,15,3,3,4.3,43,95.6,2.7,3.3
2026-02-23,Monday,Emergency,Antibiotics,CLAMOXYL 1G,Yes,5,No,45,18,3,0.8,72,98.9,1.6,3.4
2026-02-23,Monday,Emergency,Analgesics,MORPHINE HCL 10MG,Yes,15,No,64,35,3,0.5,66,96.6,0.6,1.5
2026-02-23,Monday,Emergency,Anticoagulants,ELIQUIS 5MG,Yes,69,No,20,10,3,0.5,86,100,0.1,5.1
2026-02-23,Monday,Emergency,Diuretics,KALIUM RETARD 600MG,Yes,27,No,18,8,3,0.7,70,92.6,1.9,3.6
2026-02-23,Monday,Emergency,Neurology/Psych,XANAX 0.25MG,Yes,43,No,19,10,3,0.5,94,94.1,2.2,4.8
2026-02-23,Monday,Emergency,Gastro/Digestive,PRIMPERAN 10MG,Yes,28,No,34,14,3,1.0,82,96.2,1.5,1.5
2026-02-23,Monday,Emergency,Perfusions/IV,NACL 0.9% 500ML,Yes,45,No,48,16,3,0.5,75,99.2,0.7,6.6
2026-02-23,Monday,Geriatrics,Antibiotics,AMOXICLAV SZ 875/125,Yes,49,No,32,3,3,6.6,49,94.6,1.6,0
2026-02-23,Monday,Geriatrics,Analgesics,OXYNORM INSTANT 5MG,Yes,38,No,27,4,3,6.2,38,96.8,2.4,2.1
2026-02-23,Monday,Geriatrics,Cardiovascular,ENTRESTO 49MG,Yes,41,No,36,4,3,7.2,41,96.6,2.4,2.7
2026-02-23,Monday,Geriatrics,Anticoagulants,PRADAXA 150MG,Yes,89,Yes,32,4,3,4.0,44,97.7,1.3,0.4
2026-02-23,Monday,Geriatrics,Diuretics,SPIRONOLACTONE EG 25MG,Yes,62,No,46,4,3,7.8,46,95.8,2.7,0
2026-02-23,Monday,Geriatrics,Respiratory,PULMICORT 1MG,Yes,100,No,27,2,3,6.2,53,98.4,0.1,2.4
2026-02-23,Monday,Geriatrics,Gastro/Digestive,BUSCOPAN 10MG,Yes,61,No,66,8,3,5.7,64,97.0,2.7,2.1
2026-02-23,Monday,Pneumology,Antibiotics,AMOXICLAV SZ 875/125,Yes,92,No,23,2,3,3.9,43,95.8,2.7,1.2
2026-02-23,Monday,Pneumology,Analgesics,OXYNORM INSTANT 5MG,Yes,40,No,49,11,3,3.3,51,94.9,1.9,2.7
2026-02-23,Monday,Pneumology,Cardiovascular,LIPITOR 40MG,Yes,55,No,56,10,3,1.6,52,98.9,0.5,0.7
2026-02-23,Monday,Pneumology,Diuretics,BURINEX 1MG,Yes,100,No,6,1,3,1.7,36,98.8,1.6,3.9
2026-02-23,Monday,Pneumology,Respiratory,DUOVENT 4ML,Yes,91,No,37,6,3,2.5,46,95.4,2.6,3.6
2026-02-23,Monday,Pneumology,Neurology/Psych,DIAZEPAM EG 10MG,Yes,49,No,8,2,3,0.6,36,95.3,2.4,0.4
2026-02-23,Monday,Pneumology,Gastro/Digestive,PANTOMED 40MG,Yes,34,Yes,31,7,3,4.1,36,96.5,1.0,3.5
2026-02-23,Monday,Pneumology,Perfusions/IV,GLUCOSE 5% 250ML,Yes,44,Yes,28,2,3,3.4,40,97.5,2.2,7.1
2026-02-23,Monday,Gastro,Antibiotics,AMOXICLAV SZ 875/125,Yes,57,No,24,2,3,2.5,35,95.2,0.5,0
2026-02-23,Monday,Gastro,Analgesics,TRADONAL ODIS 50MG,Yes,84,No,45,13,3,2.6,32,97.1,2.2,4.3
2026-02-23,Monday,Gastro,Cardiovascular,CEDOCARD 10MG,Yes,81,No,33,6,3,2.0,31,99.1,2.8,2.8
2026-02-23,Monday,Gastro,Anticoagulants,CLEXANE 40MG,Yes,53,No,18,2,3,3.9,32,95.1,0.6,4.0
2026-02-23,Monday,Gastro,Diuretics,SPIRONOLACTONE EG 25MG,Yes,87,No,26,6,3,3.0,42,94.5,1.7,3.5
2026-02-23,Monday,Gastro,Respiratory,DUOVENT 4ML,Yes,100,No,27,3,3,1.2,48,97.0,0.6,2.6
2026-02-23,Monday,Gastro,Antidiabetics,JARDIANCE 10MG,Yes,99,No,32,7,3,2.4,47,96.4,3.4,4.7
2026-02-23,Monday,Gastro,Neurology/Psych,HALDOL 2MG/ML,Yes,85,No,23,4,3,3.9,38,99.8,1.8,4.8
2026-02-23,Monday,Gastro,Gastro/Digestive,PRIMPERAN 10MG,Yes,83,No,47,14,3,4.7,33,93.4,1.9,5.3
2026-02-23,Monday,Gastro,Perfusions/IV,NACL 0.9% 250ML,Yes,94,No,52,14,3,3.6,31,99.9,0,2.6
2026-02-24,Tuesday,Cardiology,Antibiotics,FLUCLOXACILLINE FK 2G,No,65,No,43,5,2,3.2,51,97.3,3.0,6.5
2026-02-24,Tuesday,Cardiology,Analgesics,DAFALGAN 1G,No,18,No,33,7,2,1.1,35,99.9,0.2,1.9
2026-02-24,Tuesday,Cardiology,Cardiovascular,CEDOCARD 10MG,No,76,No,26,6,2,3.2,44,100,1.6,4.7
2026-02-24,Tuesday,Cardiology,Anticoagulants,CLEXANE 40MG,No,58,No,48,13,2,3.6,33,98.0,1.6,3.7
2026-02-24,Tuesday,Cardiology,Diuretics,BURINEX 1MG,No,51,No,46,10,2,3.3,51,98.6,1.0,1.9
2026-02-24,Tuesday,Cardiology,Respiratory,OXYGENE MEDICAL S05,No,74,No,25,4,2,3.2,43,98.9,0,2.7
2026-02-24,Tuesday,Cardiology,Antidiabetics,FORXIGA 10MG,No,56,No,21,5,2,2.0,61,98.0,3.8,3.2
2026-02-24,Tuesday,Surgery,Antibiotics,CIPROFLOXACINE TV 500,No,80,No,45,15,2,3.3,54,96.2,0.3,5.9
2026-02-24,Tuesday,Surgery,Analgesics,OXYNORM INSTANT 5MG,No,72,No,68,14,2,2.1,49,96.2,2.1,4.7
2026-02-24,Tuesday,Surgery,Cardiovascular,CEDOCARD 10MG,No,61,Yes,23,8,2,2.3,68,99.4,2.0,6.3
2026-02-24,Tuesday,Surgery,Diuretics,FUROSEMIDE EG 40MG,No,94,No,3,1,2,3.7,51,95.6,1.7,7.1
2026-02-24,Tuesday,Surgery,Respiratory,PULMICORT 1MG,No,65,No,19,8,2,4.2,68,99.5,0.6,8.6
2026-02-24,Tuesday,Surgery,Antidiabetics,FORXIGA 10MG,No,59,Yes,22,4,2,0.5,59,99.9,1.7,5.3
2026-02-24,Tuesday,Surgery,Neurology/Psych,HALDOL 2MG/ML,No,75,Yes,32,13,2,0.8,41,97.6,2.2,5.3
2026-02-24,Tuesday,Surgery,Perfusions/IV,NACL 0.9% 250ML,No,30,No,50,22,2,2.5,56,98.5,0.8,2.7
2026-02-24,Tuesday,Orthopaedics,Antibiotics,CIPROFLOXACINE TV 500,No,51,No,23,4,2,2.9,39,96.7,2.0,1.1
2026-02-24,Tuesday,Orthopaedics,Analgesics,MORPHINE HCL 10MG,No,66,Yes,34,11,2,3.9,45,96.8,1.3,0.8
2026-02-24,Tuesday,Orthopaedics,Cardiovascular,AMLOR 5MG,No,78,No,31,10,2,3.1,41,98.2,3.2,3.9
2026-02-24,Tuesday,Orthopaedics,Anticoagulants,CLEXANE 80MG,No,64,No,60,7,2,3.7,46,96.1,2.2,7.3
2026-02-24,Tuesday,Orthopaedics,Antidiabetics,METFORMINE VI 850MG,No,56,No,55,12,2,3.0,41,98.2,1.4,0.9
2026-02-24,Tuesday,Orthopaedics,Neurology/Psych,DIAZEPAM EG 10MG,No,90,No,43,9,2,3.6,43,95.2,2.0,0.7
2026-02-24,Tuesday,Orthopaedics,Perfusions/IV,PARACETAMOL BBR 1G,No,95,No,33,7,2,4.4,22,99.6,2.2,0.6
2026-02-24,Tuesday,Oncology,Antibiotics,CLAMOXYL 1G,No,61,No,30,2,2,4.1,48,95.8,1.5,5.8
2026-02-24,Tuesday,Oncology,Analgesics,OXYNORM INSTANT 5MG,No,27,No,45,3,2,0.5,41,93.7,1.2,0
2026-02-24,Tuesday,Oncology,Cardiovascular,ENTRESTO 49MG,No,21,No,37,4,2,5.4,49,96.6,0.8,3.9
2026-02-24,Tuesday,Oncology,Anticoagulants,SINTROM 1MG,No,49,No,10,1,2,2.0,44,98.8,2.4,1.4
2026-02-24,Tuesday,Oncology,Diuretics,KALIUM RETARD 600MG,No,71,No,31,2,2,2.4,45,93.6,2.0,1.6
2026-02-24,Tuesday,Oncology,Antidiabetics,FORXIGA 10MG,No,13,No,33,6,2,0.9,54,97.2,1.6,6.8
2026-02-24,Tuesday,Oncology,Gastro/Digestive,NEXIAM 20MG,No,46,No,72,8,2,3.0,51,97.1,1.5,2.9
2026-02-24,Tuesday,Psychiatry,Antibiotics,CLAMOXYL 1G,No,17,No,23,1,7,8.7,33,94.9,2.1,3.6
2026-02-24,Tuesday,Psychiatry,Cardiovascular,LIPITOR 40MG,No,72,No,47,2,7,7.6,21,98.0,3.0,2.6
2026-02-24,Tuesday,Psychiatry,Anticoagulants,PRADAXA 150MG,No,72,No,27,1,7,8.3,25,97.4,1.6,4.6
2026-02-24,Tuesday,Psychiatry,Neurology/Psych,DIAZEPAM EG 10MG,No,46,No,46,2,7,9.9,28,96.6,1.0,0.4
2026-02-24,Tuesday,Psychiatry,Gastro/Digestive,BUSCOPAN 10MG,No,83,Yes,73,4,7,6.7,20,96.1,1.4,3.7
2026-02-24,Tuesday,Neurology,Analgesics,IBUPROFEN EG 600MG,No,38,No,32,5,2,5.0,44,96.8,2.0,5.6
2026-02-24,Tuesday,Neurology,Cardiovascular,BISOPROLOL VI 5MG,No,43,No,55,5,2,1.6,45,97.2,0.9,5.9
2026-02-24,Tuesday,Neurology,Anticoagulants,SINTROM 1MG,No,70,No,35,4,2,3.0,28,96.8,1.3,3.6
2026-02-24,Tuesday,Neurology,Diuretics,HYGROTON 50MG,No,44,No,39,7,2,2.5,34,94.7,1.4,2.3
2026-02-24,Tuesday,Neurology,Antidiabetics,FORXIGA 10MG,No,72,No,16,1,2,4.3,36,96.4,2.4,0
2026-02-24,Tuesday,Neurology,Neurology/Psych,DIAZEPAM EG 10MG,No,26,No,28,5,2,4.9,37,93.4,0.1,4.4
2026-02-24,Tuesday,Neurology,Gastro/Digestive,PRIMPERAN 10MG,No,48,No,21,3,2,2.1,43,98.3,1.8,2.8
2026-02-24,Tuesday,Neurology,Perfusions/IV,NACL 0.9% 250ML,No,61,No,21,5,2,2.6,33,99.7,1.7,2.6
2026-02-24,Tuesday,Emergency,Antibiotics,PIPERACILL/TAZOBACT 4G,No,45,Yes,40,18,2,0.5,58,93.9,2.4,1.8
2026-02-24,Tuesday,Emergency,Analgesics,IBUPROFEN EG 600MG,No,6,No,33,7,2,0.5,54,96.7,0.5,2.1
2026-02-24,Tuesday,Emergency,Diuretics,KALIUM RETARD 600MG,No,51,Yes,23,4,2,0.5,55,100,0.9,6.2
2026-02-24,Tuesday,Emergency,Antidiabetics,JARDIANCE 10MG,No,74,No,30,15,2,1.7,49,97.9,1.9,2.1
2026-02-24,Tuesday,Emergency,Perfusions/IV,NACL 0.9% 500ML,No,9,Yes,31,13,2,0.7,66,99.7,1.4,6.6
2026-02-24,Tuesday,Geriatrics,Antibiotics,FLUCLOXACILLINE FK 2G,No,68,No,53,8,2,7.7,38,95.6,1.3,3.6
2026-02-24,Tuesday,Geriatrics,Analgesics,OXYNORM INSTANT 5MG,No,34,No,35,2,2,6.0,22,100,2.7,1.3
2026-02-24,Tuesday,Geriatrics,Cardiovascular,CORDARONE 150MG,No,60,Yes,27,2,2,7.1,38,93.7,1.6,7.1
2026-02-24,Tuesday,Geriatrics,Anticoagulants,CLEXANE 80MG,No,87,No,20,2,2,5.6,38,98.0,1.9,5.0
2026-02-24,Tuesday,Geriatrics,Diuretics,LASIX 20MG,No,79,No,26,2,2,8.2,31,97.1,1.3,2.6
2026-02-24,Tuesday,Geriatrics,Gastro/Digestive,NEXIAM 20MG,No,46,No,43,3,2,5.8,25,99.1,2.8,3.8
2026-02-24,Tuesday,Geriatrics,Perfusions/IV,NACL 0.9% 250ML,No,97,No,35,4,2,4.8,28,97.2,1.0,5.2
2026-02-24,Tuesday,Pneumology,Antibiotics,FLUCLOXACILLINE FK 2G,No,65,No,42,11,2,4.3,33,98.5,0,2.9
2026-02-24,Tuesday,Pneumology,Analgesics,OXYNORM INSTANT 5MG,No,69,No,26,4,2,1.9,36,98.9,2.1,2.7
2026-02-24,Tuesday,Pneumology,Cardiovascular,LIPITOR 40MG,No,58,No,43,8,2,3.3,38,96.4,2.0,0.9
2026-02-24,Tuesday,Pneumology,Anticoagulants,SINTROM 1MG,No,69,No,33,8,2,3.2,41,98.6,0,2.5
2026-02-24,Tuesday,Pneumology,Respiratory,ACETYLCYSTEINE EG 600MG,No,79,No,67,9,2,3.2,38,97.0,1.4,1.8
2026-02-24,Tuesday,Pneumology,Antidiabetics,TOUJEO 300UI,No,88,No,18,3,2,2.8,44,93.0,1.8,0
2026-02-24,Tuesday,Pneumology,Neurology/Psych,DIAZEPAM EG 10MG,No,61,No,34,4,2,3.9,36,98.6,1.5,5.4
2026-02-24,Tuesday,Pneumology,Gastro/Digestive,NEXIAM 20MG,No,59,Yes,20,5,2,6.4,21,96.6,4.6,4.0
2026-02-24,Tuesday,Pneumology,Perfusions/IV,GLUCOSE 5% 250ML,No,63,No,28,2,2,4.0,32,95.0,1.3,3.6
2026-02-24,Tuesday,Gastro,Analgesics,TARADYL 10MG,No,53,No,57,13,2,0.5,24,95.1,3.0,0.9
2026-02-24,Tuesday,Gastro,Anticoagulants,CLEXANE 60MG,No,55,No,34,7,2,2.9,32,97.0,2.0,0
2026-02-24,Tuesday,Gastro,Respiratory,LYSOMUCIL 10% 300MG,No,83,No,22,6,2,3.2,17,96.7,1.9,1.5
2026-02-24,Tuesday,Gastro,Gastro/Digestive,PANTOMED 40MG,No,33,No,42,5,2,1.9,37,94.5,2.2,5.0
2026-02-24,Tuesday,Gastro,Perfusions/IV,GLUCOSE 5% 100ML,No,74,No,53,14,2,2.7,41,95.0,3.1,0.5
2026-02-25,Wednesday,Cardiology,Cardiovascular,CEDOCARD 10MG,Yes,57,No,19,5,3,5.9,50,99.9,1.1,1.4
2026-02-25,Wednesday,Cardiology,Anticoagulants,SINTROM 1MG,Yes,56,No,45,9,3,1.9,40,99.1,2.7,5.9
2026-02-25,Wednesday,Cardiology,Diuretics,HYGROTON 50MG,Yes,40,No,53,12,3,1.4,59,100,3.3,0.7
2026-02-25,Wednesday,Cardiology,Antidiabetics,REPAGLINIDE EG 1MG,Yes,61,No,41,4,3,1.8,45,96.4,1.5,0
2026-02-25,Wednesday,Cardiology,Gastro/Digestive,PANTOMED 40MG,Yes,38,No,31,7,3,1.5,53,96.2,1.9,1.0
2026-02-25,Wednesday,Cardiology,Perfusions/IV,NACL 0.9% 250ML,Yes,82,No,20,3,3,5.2,53,95.7,2.4,2.7
2026-02-25,Wednesday,Surgery,Antibiotics,CLAMOXYL 1G,Yes,55,No,52,12,3,1.4,80,94.3,3.5,0
2026-02-25,Wednesday,Surgery,Analgesics,TRADONAL ODIS 50MG,Yes,66,No,27,6,3,2.7,75,97.9,2.0,7.2
2026-02-25,Wednesday,Surgery,Cardiovascular,BISOPROLOL VI 5MG,Yes,53,No,42,8,3,3.9,63,100,0,4.1
2026-02-25,Wednesday,Surgery,Anticoagulants,CLEXANE 40MG,Yes,85,No,24,5,3,2.1,66,93.4,1.9,1.9
2026-02-25,Wednesday,Surgery,Diuretics,LASIX 20MG,Yes,48,No,39,15,3,1.0,59,99.0,1.2,2.6
2026-02-25,Wednesday,Surgery,Respiratory,ATROVENT 0.25MG,Yes,50,No,35,14,3,0.6,60,98.1,2.1,0
2026-02-25,Wednesday,Surgery,Antidiabetics,FORXIGA 10MG,Yes,100,No,32,9,3,2.4,78,97.8,1.2,5.3
2026-02-25,Wednesday,Surgery,Neurology/Psych,XANAX 0.25MG,Yes,73,No,25,6,3,2.8,59,99.0,0.7,0.7
2026-02-25,Wednesday,Surgery,Gastro/Digestive,ENTEROL 250MG,Yes,64,No,32,11,3,3.4,60,97.2,2.3,0
2026-02-25,Wednesday,Surgery,Perfusions/IV,NACL 0.9% 500ML,Yes,48,No,30,10,3,1.5,80,97.6,2.1,0.7
2026-02-25,Wednesday,Orthopaedics,Antibiotics,PIPERACILL/TAZOBACT 4G,Yes,68,No,50,12,3,6.5,44,98.5,2.0,3.5
2026-02-25,Wednesday,Orthopaedics,Analgesics,MORPHINE HCL 10MG,Yes,49,No,53,11,3,2.7,41,99.4,0.5,2.5
2026-02-25,Wednesday,Orthopaedics,Cardiovascular,CEDOCARD 10MG,Yes,44,No,11,2,3,2.1,64,97.0,0.9,0
2026-02-25,Wednesday,Orthopaedics,Anticoagulants,SINTROM 1MG,Yes,48,No,27,4,3,5.1,49,98.3,4.5,2.7
2026-02-25,Wednesday,Orthopaedics,Respiratory,PULMICORT 1MG,Yes,79,No,7,2,3,3.2,41,100,0,2.0
2026-02-25,Wednesday,Orthopaedics,Gastro/Digestive,NEXIAM 20MG,Yes,61,No,36,6,3,3.9,42,96.2,1.9,0
2026-02-25,Wednesday,Orthopaedics,Perfusions/IV,GLUCOSE 5% 100ML,Yes,55,No,28,3,3,4.3,42,96.7,1.8,4.2
2026-02-25,Wednesday,Oncology,Analgesics,OXYNORM INSTANT 5MG,Yes,76,Yes,11,1,3,4.7,54,95.9,1.1,3.4
2026-02-25,Wednesday,Oncology,Cardiovascular,AMLOR 5MG,Yes,60,No,24,4,3,2.6,55,97.1,2.7,2.2
2026-02-25,Wednesday,Oncology,Anticoagulants,CLEXANE 40MG,Yes,52,No,51,9,3,2.5,52,97.3,1.4,2.8
2026-02-25,Wednesday,Oncology,Diuretics,BURINEX 1MG,Yes,62,No,32,4,3,2.1,57,100,1.0,6.2
2026-02-25,Wednesday,Oncology,Respiratory,LYSOMUCIL 10% 300MG,Yes,88,No,13,1,3,4.0,54,94.1,2.4,1.0
2026-02-25,Wednesday,Oncology,Antidiabetics,METFORMINE VI 850MG,Yes,58,No,9,1,3,1.4,63,99.0,1.7,5.1
2026-02-25,Wednesday,Oncology,Neurology/Psych,XANAX 0.25MG,Yes,55,No,32,3,3,1.2,62,98.8,3.0,1.2
2026-02-25,Wednesday,Oncology,Gastro/Digestive,PRIMPERAN 10MG,Yes,20,No,38,7,3,1.1,65,97.8,2.8,3.1
2026-02-25,Wednesday,Oncology,Perfusions/IV,NACL 0.9% 250ML,Yes,9,No,29,4,3,2.7,47,95.1,0.9,2.8
2026-02-25,Wednesday,Psychiatry,Antibiotics,AMOXICLAV SZ 875/125,Yes,86,No,33,2,7,9.3,38,96.5,1.7,4.0
2026-02-25,Wednesday,Psychiatry,Cardiovascular,LIPITOR 40MG,Yes,88,No,53,3,7,7.0,35,96.5,1.4,1.6
2026-02-25,Wednesday,Psychiatry,Neurology/Psych,DIAZEPAM EG 10MG,Yes,81,No,50,4,7,8.2,36,98.0,1.7,0.2
2026-02-25,Wednesday,Psychiatry,Gastro/Digestive,MOVICOL SACHET,Yes,82,No,36,3,7,6.6,26,100,2.6,2.1
2026-02-25,Wednesday,Psychiatry,Perfusions/IV,NACL 0.9% 500ML,Yes,72,No,24,1,7,8.3,42,100,3.8,5.0
2026-02-25,Wednesday,Neurology,Antibiotics,CLAMOXYL 1G,Yes,39,No,17,4,3,4.2,43,99.3,1.4,8.1
2026-02-25,Wednesday,Neurology,Analgesics,DAFALGAN 1G,Yes,91,No,31,7,3,3.6,51,99.9,2.4,0.2
2026-02-25,Wednesday,Neurology,Cardiovascular,CORDARONE 150MG,Yes,74,No,62,10,3,4.3,49,94.0,3.8,8.3
2026-02-25,Wednesday,Neurology,Anticoagulants,CLEXANE 60MG,Yes,77,No,22,4,3,3.3,43,97.1,2.3,2.4
2026-02-25,Wednesday,Neurology,Antidiabetics,EZETIMIBE EG 10MG,Yes,54,No,21,3,3,7.0,40,96.7,1.0,0
2026-02-25,Wednesday,Neurology,Neurology/Psych,HALDOL 2MG/ML,Yes,59,No,30,3,3,4.0,40,98.1,3.8,4.6
2026-02-25,Wednesday,Neurology,Perfusions/IV,NACL 0.9% 250ML,Yes,81,No,33,4,3,2.6,51,93.9,2.1,2.4
2026-02-25,Wednesday,Emergency,Antibiotics,PIPERACILL/TAZOBACT 4G,Yes,45,No,42,9,3,1.1,75,95.0,1.5,1.9
2026-02-25,Wednesday,Emergency,Analgesics,TRADONAL ODIS 50MG,Yes,36,No,82,45,3,4.1,79,100,1.1,3.4
2026-02-25,Wednesday,Emergency,Cardiovascular,BISOPROLOL VI 5MG,Yes,63,No,26,11,3,0.5,87,99.3,2.6,1.6
2026-02-25,Wednesday,Emergency,Anticoagulants,SINTROM 1MG,Yes,61,No,21,8,3,0.7,84,98.6,1.6,8.1
2026-02-25,Wednesday,Emergency,Diuretics,SPIRONOLACTONE EG 25MG,Yes,67,No,21,8,3,1.6,74,96.9,1.9,0.8
2026-02-25,Wednesday,Emergency,Respiratory,LYSOMUCIL 10% 300MG,Yes,53,No,35,13,3,1.9,89,96.3,1.6,2.6
2026-02-25,Wednesday,Emergency,Neurology/Psych,SEDISTRESS 200MG,Yes,53,Yes,26,6,3,0.9,75,99.7,3.1,4.3
